,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,Briars
1.0,0.55,0.8,0.85,0.85,0.75,0.45,0.2,0.15,0.15,0.25,0.0,0.0,0.0,0.0,0.0,0.055920000000000004
2.0,0.35,0.1,0.3,0.35,0.25,0.65,0.9,0.7,0.65,0.75,0.0,0.0,0.0,0.0,0.0,0.010960000000000001
3.0,0.85,1.0,1.0,1.0,1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028800000000000006
4.0,0.75,1.0,0.95,0.9,0.75,0.25,0.0,0.05,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.012180000000000003
5.0,0.75,1.0,1.0,1.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004160000000000001
6.0,0.5,0.8,0.55,0.65,0.6,0.5,0.2,0.45,0.35,0.4,0.0,0.0,0.0,0.0,0.0,0.022199999999999998
7.0,0.65,0.75,0.8,0.55,0.7,0.35,0.25,0.2,0.45,0.3,0.0,0.0,0.0,0.0,0.0,0.06523999999999999
8.0,0.55,0.6,0.55,0.55,0.4,0.45,0.4,0.45,0.45,0.6,0.0,0.0,0.0,0.0,0.0,0.06993
9.0,0.45,0.5,0.15,0.35,0.6,0.3,0.3,0.6,0.5,0.35,0.25,0.2,0.25,0.15,0.05,0.022119999999999997
10.0,0.65,0.7,0.4,0.55,0.65,0.3,0.1,0.35,0.2,0.2,0.05,0.2,0.25,0.25,0.15,0.022826666666666672
11.0,0.05,0.05,0.0,0.0,0.0,0.95,0.9,0.85,1.0,0.85,0.0,0.05,0.15,0.0,0.15,0.09066666666666667
12.0,0.4,0.35,0.4,0.2,0.25,0.25,0.0,0.0,0.0,0.0,0.35,0.65,0.6,0.8,0.75,0.06733333333333331
13.0,0.25,0.2,0.05,0.05,0.05,0.75,0.8,0.95,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.15203999999999998
14.0,0.7,1.0,1.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012620000000000006
15.0,0.5,0.45,0.45,0.4,0.4,0.5,0.5,0.5,0.45,0.35,0.0,0.05,0.05,0.15,0.25,0.014320000000000001
16.0,0.25,0.2,0.3,0.25,0.35,0.75,0.45,0.25,0.35,0.4,0.0,0.35,0.45,0.4,0.25,0.03292000000000001
