item num,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5
1,0.77,0.566666667,0.83,0.6,0.813333333,0.416666667,0.28,0.396666667,0.43,0.186666667
2,0.55,0.533333333,0.433333333,0.65,0.463333333,0.45,0.543333333,0.566666667,0.636666667,0.663333333
3,0.616666667,0.49,0.483333333,0.6,0.346666667,0.416666667,0.51,0.516666667,0.5,0.653333333
4,0.56,0.56,0.49,0.566666667,0.476666667,0.433333333,0.753333333,0.443333333,0.686666667,0.43
5,0.7,0.566666667,0.606666667,0.68,0.43,0.3,0.34,0.396666667,0.42,0.57
6,0.583333333,0.606666667,0.476666667,0.65,0.59,0.416666667,0.413333333,0.39,0.58,0.41
7,0.423333333,0.38,0.476666667,0.33,0.326666667,0.576666667,0.546666667,0.616666667,0.543333333,0.523333333
8,0.476666667,0.513333333,0.593333333,0.623333333,0.506666667,0.523333333,0.566666667,0.556666667,0.423333333,0.513333333
9,0.316666667,0.313333333,0.286666667,0.336666667,0.323333333,0.37,0.393333333,0.396666667,0.406666667,0.37
10,0.28,0.323333333,0.206666667,0.206666667,0.19,0.46,0.476666667,0.45,0.39,0.38
11,0.24,0.313333333,0.456666667,0.396666667,0.5,0.35,0.326666667,0.246666667,0.303333333,0.18
12,0.253333333,0.346666667,0.3,0.45,0.526666667,0.456666667,0.5,0.456666667,0.44,0.486666667
13,0.7,0.71,0.573333333,0.716666667,0.58,0.336666667,0.416666667,0.426666667,0.283333333,0.283333333
14,0.61,0.513333333,0.573333333,0.443333333,0.82,0.336666667,0.416666667,0.426666667,0.556666667,0.53
15,0.316666667,0.21,0.316666667,0.33,0.366666667,0.31,0.476666667,0.356666667,0.433333333,0.346666667
16,0.303333333,0.21,0.273333333,0.306666667,0.28,0.31,0.396666667,0.41,0.433333333,0.38
17,0.21,0.286666667,0.263333333,0.246666667,0.246666667,0.44,0.43,0.34,0.36,0.366666667
18,0.273333333,0.196666667,0.206666667,0.283333333,0.166666667,0.45,0.34,0.34,0.416666667,0.356666667
19,0.21,0.22,0.286666667,0.283333333,0.166666667,0.44,0.416666667,0.473333333,0.413333333,0.356666667
20,0.306666667,0.286666667,0.326666667,0.306666667,0.463333333,0.45,0.326666667,0.373333333,0.393333333,0.366666667
21,0.273333333,0.286666667,0.386666667,0.306666667,0.33,0.38,0.416666667,0.34,0.393333333,0.366666667
22,0.24,0.22,0.236666667,0.256666667,0.323333333,0.45,0.396666667,0.473333333,0.416666667,0.42
23,0.323333333,0.323333333,0.23,0.3,0.326666667,0.676666667,0.676666667,0.77,0.8,0.706666667
24,0.416666667,0.45,0.456666667,0.336666667,0.226666667,0.533333333,0.55,0.526666667,0.556666667,0.543333333
25,0.793333333,0.683333333,0.696666667,0.586666667,0.696666667,0.336666667,0.316666667,0.303333333,0.183333333,0.286666667
26,0.64,0.64,0.543333333,0.68,0.57,0.463333333,0.476666667,0.3,0.466666667,0.433333333
27,0.503333333,0.486666667,0.463333333,0.436666667,0.44,0.493333333,0.516666667,0.536666667,0.446666667,0.56
28,0.303333333,0.35,0.273333333,0.363333333,0.38,0.31,0.403333333,0.326666667,0.406666667,0.38
29,0.316666667,0.35,0.343333333,0.306666667,0.366666667,0.406666667,0.403333333,0.41,0.406666667,0.4
30,0.323333333,0.323333333,0.316666667,0.306666667,0.366666667,0.4,0.476666667,0.396666667,0.39,0.393333333
31,0.416666667,0.446666667,0.45,0.543333333,0.226666667,0.546666667,0.553333333,0.55,0.556666667,0.676666667
32,0.486666667,0.616666667,0.47,0.336666667,0.46,0.546666667,0.56,0.206666667,0.54,0.676666667
33,0.373333333,0.466666667,0.483333333,0.48,0.51,0.333333333,0.31,0.303333333,0.356666667,0.34
34,0.44,0.5,0.516666667,0.463333333,0.51,0.333333333,0.31,0.303333333,0.29,0.266666667
35,0.41,0.323333333,0.346666667,0.4,0.32,0.366666667,0.32,0.326666667,0.326666667,0.313333333
36,0.316666667,0.313333333,0.346666667,0.37,0.463333333,0.38,0.36,0.326666667,0.406666667,0.333333333
37,0.316666667,0.38,0.346666667,0.37,0.333333333,0.37,0.366666667,0.396666667,0.406666667,0.333333333
38,0.193333333,0.46,0.47,0.45,0.526666667,0.456666667,0.296666667,0.456666667,0.253333333,0.486666667
39,0.186666667,0.35,0.52,0.51,0.5,0.263333333,0.253333333,0.336666667,0.26,0.486666667
40,0.186666667,0.426666667,0.403333333,0.45,0.5,0.456666667,0.396666667,0.246666667,0.313333333,0.18
41,0.186666667,0.31,0.486666667,0.526666667,0.5,0.456666667,0.433333333,0.413333333,0.54,0.486666667
42,0.186666667,0.483333333,0.546666667,0.583333333,0.643333333,0.413333333,0.573333333,0.356666667,0.33,0.273333333
43,0.186666667,0.283333333,0.3,0.396666667,0.41,0.53,0.43,0.493333333,0.4,0.48
44,0.186666667,0.483333333,0.3,0.433333333,0.54,0.53,0.43,0.493333333,0.31,0.133333333
