,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5
45,0.75,0.35,0.35,0.4,0.4,0.15,0.45,0.4,0.45,0.45,45,0.73,0.79,0.72,0.67,0.56,0.16,0.14,0.17,0.21,0.28
45,0.75,0.9,0.95,0.8,0.65,0.15,0.1,0,0.1,0.2,46,0.62,0.62,0.6,0.53,0.51,0.38,0.38,0.4,0.47,0.49
45,0.8,0.95,1,0.75,0.5,0.15,0,0,0.15,0.35,,,,,,,,,,,
45,0.7,0.95,0.9,0.9,0.75,0.15,0,0.1,0.05,0.2,,,,,,,,,,,
45,0.65,0.8,0.4,0.5,0.5,0.2,0.15,0.35,0.3,0.2,,,,,,,,,,,
46,0.5,0.35,0.35,0.4,0.25,0.5,0.65,0.65,0.6,0.75,,,,,,,,,,,
46,0.8,0.8,0.65,0.55,0.65,0.2,0.2,0.35,0.45,0.35,,,,,,,,,,,
46,0.7,0.65,0.6,0.55,0.55,0.3,0.35,0.4,0.45,0.45,,,,,,,,,,,
46,0.6,0.45,0.7,0.55,0.65,0.4,0.55,0.3,0.45,0.35,,,,,,,,,,,
46,0.5,0.85,0.7,0.6,0.45,0.5,0.15,0.3,0.4,0.55,,,,,,,,,,,
47,0.3,0.15,0.45,0.5,0.35,0.7,0.85,0.55,0.5,0.65,,,,,,,,,,,
47,0.35,0.45,0.5,0.6,0.65,0.65,0.55,0.5,0.4,0.35,,,,,,,,,,,
47,0.3,0.7,0.7,0.5,0.35,0.7,0.3,0.3,0.5,0.65,,,,,,,,,,,
47,0.8,0.75,0.75,0.5,0.85,0.2,0.25,0.25,0.5,0.15,,,,,,,,,,,
47,0.8,0.6,0.65,0.6,0.7,0.2,0.4,0.35,0.4,0.3,,,,,,,,,,,
48,0.3,0.25,0.55,0.45,0.6,0.7,0.75,0.45,0.55,0.4,,,,,,,,,,,
48,0.25,0.15,0.35,0.5,0.55,0.75,0.85,0.65,0.5,0.45,,,,,,,,,,,
48,0.5,0.4,0.55,0.7,0.65,0.5,0.6,0.45,0.3,0.35,,,,,,,,,,,
48,0.6,0.7,0.65,0.65,0.5,0.4,0.3,0.35,0.35,0.5,,,,,,,,,,,
48,0.35,0.65,0.65,0.4,0.65,0.65,0.35,0.35,0.6,0.35,,,,,,,,,,,
49,0.15,0.2,0.1,0.2,0.2,0.85,0.8,0.9,0.8,0.8,,,,,,,,,,,
49,0.45,0.5,0.25,0.45,0.1,0.55,0.5,0.75,0.55,0.9,,,,,,,,,,,
49,0.45,0.4,0.3,0.35,0.35,0.55,0.6,0.7,0.65,0.65,,,,,,,,,,,
49,0.55,0.35,0.35,0.35,0.3,0.45,0.65,0.65,0.65,0.7,,,,,,,,,,,
49,0.5,0.3,0.3,0.3,0.15,0.5,0.7,0.7,0.7,0.85,,,,,,,,,,,
50,0.25,0.6,0.45,0.4,0.45,0.6,0.3,0.35,0.4,0.4,,,,,,,,,,,
50,0.25,0.45,0.2,0.55,0.7,0.7,0.5,0.65,0.25,0.25,,,,,,,,,,,
50,0.1,0.15,0.25,0.3,0.45,0.8,0.65,0.6,0.5,0.4,,,,,,,,,,,
50,0.55,0.7,0.7,0.45,0.5,0.25,0.25,0.2,0.5,0.3,,,,,,,,,,,
50,0.2,0.25,0.3,0.45,0.25,0.5,0.5,0.55,0.55,0.6,,,,,,,,,,,
51,0.55,0.35,0.55,0.35,0.35,0.3,0.35,0.35,0.6,0.4,,,,,,,,,,,
51,0.25,0.35,0.35,0.5,0.25,0.45,0.4,0.4,0.4,0.45,,,,,,,,,,,
51,0.15,0.6,0.55,0.6,0.5,0.75,0.1,0.25,0.25,0.35,,,,,,,,,,,
51,0.7,0.5,0.7,0.95,0.75,0.15,0.45,0.25,0.05,0.2,,,,,,,,,,,
51,0.8,0.65,0.5,0.55,0.6,0.15,0.2,0.2,0.2,0.25,,,,,,,,,,,
52,0.25,0.45,0.35,0.1,0.5,0.55,0.3,0.5,0.4,0.3,,,,,,,,,,,
52,0.3,0.75,0.55,0.6,0.6,0.25,0,0.25,0.3,0.25,,,,,,,,,,,
52,0.4,0.25,0.3,0.2,0.25,0.4,0.6,0.6,0.5,0.7,,,,,,,,,,,
52,0.6,0.4,0.6,0.5,0.55,0.4,0.5,0.3,0.35,0.4,,,,,,,,,,,
52,0.5,0.35,0.25,0.25,0.6,0.15,0.5,0.55,0.7,0.2,,,,,,,,,,,
53,0.6,0.4,0.5,0.25,0.45,0.15,0.35,0.35,0.55,0.35,,,,,,,,,,,
53,0.2,0.3,0.45,0.6,0.5,0.2,0.15,0.2,0.35,0.4,,,,,,,,,,,
53,0.1,0.15,0.3,0.3,0.15,0.25,0.55,0.45,0.5,0.5,,,,,,,,,,,
53,0.5,0.3,0.35,0.3,0.25,0.35,0.55,0.6,0.5,0.7,,,,,,,,,,,
53,0.25,0.35,0.45,0.35,0.35,0.7,0.6,0.4,0.4,0.5,,,,,,,,,,,
54,0.6,0.45,0.45,0.65,0.55,0.3,0.4,0.35,0.3,0.25,,,,,,,,,,,
54,0.55,0.6,0.5,0.3,0.5,0.1,0.3,0.25,0.6,0.35,,,,,,,,,,,
54,0.35,0.7,0.75,0.35,0.5,0.4,0.3,0.25,0.6,0.35,,,,,,,,,,,
54,0.3,0.6,0.45,0.5,0.5,0.55,0.25,0.35,0.25,0.3,,,,,,,,,,,
54,0.65,0.55,0.5,0.3,0.3,0.15,0.2,0.4,0.6,0.55,,,,,,,,,,,
55,0.3,0.45,0.5,0.55,0.4,0.5,0.45,0.4,0.35,0.45,,,,,,,,,,,
55,0.35,0.65,0.45,0.45,0.5,0.45,0.35,0.55,0.35,0.3,,,,,,,,,,,
55,0.4,0.25,0.3,0.4,0.35,0.45,0.45,0.5,0.5,0.45,,,,,,,,,,,
55,0.35,0.35,0.45,0.55,0.35,0.55,0.5,0.4,0.35,0.5,,,,,,,,,,,
55,0.05,0.15,0.25,0.35,0.05,0.6,0.75,0.55,0.5,0.75,,,,,,,,,,,
56,0.35,0.65,0.8,0.6,0.35,0.5,0.2,0.05,0.3,0.45,,,,,,,,,,,
56,0.65,0.65,0.55,0.6,0.55,0.25,0.35,0.3,0.35,0.25,,,,,,,,,,,
56,0.15,0.35,0.4,0.35,0.45,0.65,0.55,0.35,0.35,0.4,,,,,,,,,,,
56,0.4,0.5,0.75,0.65,0.65,0.5,0.45,0.1,0.15,0.3,,,,,,,,,,,
56,0.6,0.4,0.35,0.4,0.55,0.25,0.4,0.6,0.35,0.3,,,,,,,,,,,
57,0.45,0.35,0.7,0.4,0.55,0.35,0.35,0.15,0.5,0.35,,,,,,,,,,,
57,0.45,0.4,0.35,0.5,0.55,0.4,0.5,0.55,0.4,0.4,,,,,,,,,,,
57,0.55,0.45,0.2,0.55,0.45,0.2,0.25,0.6,0.35,0.4,,,,,,,,,,,
57,0.05,0.25,0.25,0.1,0.3,0.4,0.5,0.6,0.5,0.45,,,,,,,,,,,
57,0.15,0.25,0.2,0.5,0.45,0.7,0.55,0.65,0.45,0.5,,,,,,,,,,,
58,0.5,0.5,0.5,0.5,0.4,0.3,0.25,0.3,0.3,0.35,,,,,,,,,,,
58,0.35,0.45,0.6,0.6,0.75,0.5,0.45,0.3,0.3,0.2,,,,,,,,,,,
58,0.4,0.35,0.1,0.15,0.2,0.5,0.65,0.75,0.7,0.6,,,,,,,,,,,
58,0.35,0.45,0.4,0.3,0.35,0.3,0.4,0.45,0.5,0.55,,,,,,,,,,,
58,0.2,0.5,0.35,0.35,0.5,0.65,0.45,0.4,0.5,0.35,,,,,,,,,,,
59,0.3,0.45,0.45,0.7,0.5,0.5,0.4,0.4,0.2,0.2,,,,,,,,,,,
59,0.25,0.5,0.35,0.5,0.5,0.4,0.25,0.5,0.35,0.3,,,,,,,,,,,
59,0.15,0.2,0.35,0.35,0.45,0.65,0.55,0.3,0.55,0.45,,,,,,,,,,,
59,0.35,0.3,0.35,0.3,0.35,0.45,0.6,0.5,0.45,0.5,,,,,,,,,,,
59,0.35,0.55,0.4,0.3,0.4,0.55,0.45,0.55,0.45,0.45,,,,,,,,,,,
60,0.1,0.2,0.35,0.35,0.3,0.4,0.6,0.55,0.35,0.55,,,,,,,,,,,
60,0.5,0.5,0.4,0.1,0.35,0.35,0.35,0.3,0.55,0.5,,,,,,,,,,,
60,0.55,0.4,0.6,0.5,0.3,0.3,0.4,0.3,0.4,0.55,,,,,,,,,,,
60,0.4,0.45,0.5,0.45,0.3,0.35,0.35,0.25,0.35,0.25,,,,,,,,,,,
60,0.45,0.45,0.5,0.5,0.6,0.4,0.4,0.5,0.4,0.3,,,,,,,,,,,
61,0.5,0.35,0.25,0.35,0.35,0.45,0.45,0.6,0.45,0.45,,,,,,,,,,,
