task_n,n,a1,pa1,a2,sa,b1,pb1,b2,sb,c1,pc1,c2,sc,rab,rbc,ADD,block_1_A,block_2_A,block_3_A,block_4_A,block_5_A,block_1_B,block_2_B,block_3_B,block_4_B,block_5_B
1,2,1,0.9,-10,0,0,1,0,0,.,.,.,.,0,.,.,0.67,0.57,0.56,0.56,0.54,0.33,0.43,0.44,0.44,0.46
2,2,10,0.1,-1,0,0,1,0,0,.,.,.,.,0,.,.,0.2,0.27,0.3,0.3,0.28,0.8,0.73,0.7,0.7,0.72
3,2,12,1,12,0,11,1,11,0,.,.,.,.,0,.,.,0.86,0.89,0.97,0.97,0.98,0.14,0.11,0.03,0.03,0.02
4,2,12,1,12,0,20,0.1,10,0,.,.,.,.,0,.,.,0.81,0.82,0.84,0.82,0.83,0.19,0.18,0.16,0.18,0.17
5,2,1,1,1,0,0,1,0,0,.,.,.,.,0,.,.,0.88,0.98,0.97,0.99,0.95,0.12,0.02,0.03,0.01,0.05
6,2,11,0.5,-9,0,0,1,0,0,.,.,.,.,0,.,.,0.57,0.52,0.55,0.51,0.51,0.43,0.48,0.45,0.49,0.49
7,2,-20,0.06,1.5,0,1.35,1,1.35,0,.,.,.,.,0,.,.,0.68,0.51,0.46,0.4,0.34,0.32,0.49,0.54,0.6,0.66
8,2,-20,0.06,1.5,0,3,0.45,0,0,.,.,.,.,0,.,.,0.4,0.35,0.29,0.18,0.16,0.6,0.66,0.71,0.82,0.84
9,3,8,0.5,-8,0,4,0.5,-4,0,0,1,0,0,-1,0,0,0.45,0.52,0.52,0.54,0.53,0.42,0.38,0.37,0.33,0.34
10,3,8,0.51,-8,0,4,0.51,-4,0,0,1,0,0,1,0,0,0.47,0.52,0.52,0.53,0.51,0.21,0.12,0.12,0.12,0.12
11,3,1.35,1,1.35,0,1.6,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.19,0.31,0.4,0.44,0.51,0.7,0.64,0.56,0.51,0.44
12,3,1.35,1,1.35,0,1.2,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.25,0.45,0.54,0.58,0.61,0.16,0.12,0.12,0.1,0.11
13,2,1.35,1,1.35,0,1.6,0.97,-20,0,.,.,.,.,1,.,.,0.28,0.36,0.45,0.56,0.61,0.72,0.64,0.55,0.44,0.39
14,2,1.35,1,1.35,0,1.2,0.97,-20,0,.,.,.,.,1,.,.,0.93,0.95,0.96,0.95,0.94,0.07,0.05,0.04,0.05,0.06
15,3,5,0.5,3,0,8,0.5,0,0,5,0.4,3,0,0,0,0,0.31,0.31,0.3,0.33,0.3,0.47,0.48,0.49,0.47,0.48
16,3,5,0.5,3,0,8,0.5,0,0,8,0.4,0,0,0,0,0,0.35,0.41,0.43,0.42,0.48,0.38,0.38,0.38,0.39,0.38
17,3,40,0.1,1.5,0,10,0.1,3,0,30,0.1,1.4,0,1,1,0,0.29,0.37,0.42,0.45,0.55,0.62,0.57,0.52,0.5,0.41
18,3,40,0.1,1.5,0,10,0.1,3,0,2.1,1,2.1,0,1,1,0,0.22,0.34,0.41,0.4,0.47,0.69,0.6,0.55,0.56,0.49
19,3,6,0.4,0,0,5,0.5,0,0,4,0.6,0,0,1,1,0,0.41,0.39,0.4,0.39,0.37,0.38,0.36,0.34,0.4,0.4
20,3,6,0.4,0,0,5,0.5,0,0,7,0.3,0,0,1,1,0,0.24,0.25,0.24,0.22,0.22,0.35,0.41,0.45,0.46,0.47
21,3,100,0.01,0,0,2,0.5,0,0,1,1,1,0,1,1,0,0.09,0.07,0.07,0.1,0.13,0.41,0.42,0.42,0.39,0.39
22,3,100,0.01,0,0,2,0.5,0,0,2.04,0.49,0,0,1,1,0,0.17,0.13,0.15,0.13,0.15,0.28,0.24,0.23,0.22,0.21
23,2,8,0.5,-6,0,7,0.5,-7,0,.,.,.,.,1,.,.,0.83,0.91,0.91,0.92,0.9,0.17,0.09,0.09,0.08,0.1
24,2,8,0.5,-6,0,7,0.5,-7,0,.,.,.,.,-1,.,.,0.51,0.51,0.55,0.55,0.57,0.49,0.49,0.45,0.45,0.43
25,2,9,0.9,0,0,9.1,0.87,0.1,0,.,.,.,.,1,.,.,0.29,0.2,0.19,0.21,0.26,0.71,0.8,0.81,0.79,0.74
26,2,9,0.9,0,0,9.1,0.87,0.1,0,.,.,.,.,-1,.,.,0.3,0.29,0.29,0.3,0.24,0.7,0.71,0.71,0.7,0.76
27,2,10,0.5,-10,0,11,0.5,-9,0,.,.,.,.,1,.,.,0.28,0.25,0.21,0.21,0.21,0.72,0.75,0.79,0.79,0.79
28,3,10,0.5,-10,0,11,0.5,-9,0,10,0.49,-10,0,1,0,0,0.18,0.05,0.1,0.06,0.09,0.53,0.69,0.65,0.63,0.65
29,3,5,0.5,3,0,8,0.5,0,0,5,0.4,4,0,0,0,0,0.31,0.25,0.22,0.23,0.18,0.35,0.36,0.32,0.31,0.32
30,3,5,0.5,3,0,8,0.5,0,0,8,0.4,1,0,0,0,0,0.29,0.33,0.3,0.34,0.36,0.37,0.35,0.37,0.36,0.34
31,2,8,0.5,-8,0,4,0.5,-4,0,.,.,.,.,-1,.,.,0.55,0.52,0.57,0.53,0.61,0.45,0.48,0.43,0.47,0.39
32,2,17,0.5,1,0,13,0.5,5,0,.,.,.,.,-1,.,.,0.55,0.54,0.51,0.52,0.53,0.45,0.46,0.49,0.48,0.48
33,3,0,1,0,10,0,1,0,5,0,1,0,0,0,0,1,0.45,0.53,0.55,0.53,0.51,0.36,0.34,0.31,0.32,0.34
34,3,0,1,0,10,0,1,0,5,0.5,1,0,0,0,0,1,0.41,0.43,0.45,0.44,0.43,0.37,0.33,0.31,0.31,0.27
35,3,8,0.5,-8,0,4,0.5,-4,0,0,1,0,0,0,0,1,0.4,0.45,0.48,0.46,0.49,0.43,0.43,0.42,0.43,0.41
36,3,17,0.5,1,0,13,0.5,5,0,9,1,9,0,-1,0,0,0.34,0.31,0.32,0.34,0.29,0.39,0.36,0.38,0.35,0.39
37,3,18,0.5,2,0,14,0.5,6,0,10,1,10,0,-1,0,0,0.44,0.38,0.32,0.34,0.38,0.37,0.34,0.29,0.25,0.24
38,3,0.6,1,0.6,0,1.2,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.12,0.2,0.27,0.33,0.39,0.22,0.21,0.26,0.19,0.17
39,3,3,0.45,0,0,1.2,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.5,0.62,0.64,0.68,0.72,0.15,0.13,0.15,0.15,0.12
40,3,0.6,1,0.6,0,1.6,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.14,0.22,0.23,0.28,0.35,0.67,0.65,0.66,0.62,0.57
41,3,3,0.45,0,0,1.6,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.46,0.52,0.6,0.63,0.7,0.41,0.43,0.36,0.33,0.26
42,3,3,0.45,0,0,2,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.37,0.4,0.42,0.46,0.5,0.52,0.53,0.53,0.49,0.45
43,3,3,0.98,-148,0,2,0.8,-13,0,0,1,0,0,0,1,0,0.62,0.69,0.68,0.69,0.62,0.25,0.2,0.14,0.12,0.12
44,3,2,0.98,-148,0,3,0.8,-10,0,0,1,0,0,0,1,0,0.45,0.43,0.44,0.47,0.37,0.42,0.44,0.42,0.39,0.43
45,3,3,0.98,-127,0,3,0.8,-10,0,0,1,0,0,0,1,0,,,,,,,,,,
46,2,2.53,0.89,2.03,0,2.52,1,2.52,0,.,.,.,.,0,.,.,,,,,,,,,,
47,2,2.53,0.89,2.43,0,2.52,1,2.52,0,.,.,.,.,0,.,.,,,,,,,,,,
48,2,3,0.9,-30,0,2,1,2,0,.,.,.,.,0,.,.,,,,,,,,,,
49,2,3,0.9,-30,0,8,0.5,-4,0,.,.,.,.,0,.,.,,,,,,,,,,
50,3,35,0.8,0,0,57,0.5,0,0,29,0.65,0,0,0,0,0,,,,,,,,,,
51,3,35,0.8,0,0,57,0.5,0,0,49,0.35,0,0,0,0,0,,,,,,,,,,
